Network_zones,Network_Lines,z1,z2,z3,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,DerateCapRes_4,DerateCapRes_5,DerateCapRes_6,DerateCapRes_7,DerateCapRes_8,DerateCapRes_9,DerateCapRes_10,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,CapRes_Excl_4,CapRes_Excl_5,CapRes_Excl_6,CapRes_Excl_7,CapRes_Excl_8,CapRes_Excl_9,CapRes_Excl_10,Line_Size_MW,v_class,Line_Max_Flow_Possible_MW,WACC,Capital_Recovery_Period
SPPS,50,1,-1,0,600,600,SPPS_to_TRE,30240,624286,0.0422,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1,existing,0,0.062,30
TRE,51,1,0,-1,220,220,SPPS_to_TRE_WEST,27005,557510,0.0339,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1,existing,0,0.062,30
TRE_WEST,55,0,1,-1,16529,16529,TRE_to_TRE_WEST,38718,799317,0.0566,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1,existing,0,0.062,30
,107,1,-1,0,0,0,SPPS_to_TRE,39129,822147,0.1178,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,800,230kV_double,100000,0.062,30
,108,1,0,-1,0,0,SPPS_to_TRE_WEST,44973,944950,0.2056,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,800,230kV_double,100000,0.062,30
,112,0,1,-1,0,0,TRE_to_TRE_WEST,51491,1081892,0.1847,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,800,230kV_double,100000,0.062,30
,164,1,-1,0,0,0,SPPS_to_TRE,46273,972259,0.1178,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,400,230kV_single,100000,0.062,30
,165,1,0,-1,0,0,SPPS_to_TRE_WEST,55965,1175903,0.2056,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,400,230kV_single,100000,0.062,30
,169,0,1,-1,0,0,TRE_to_TRE_WEST,61546,1293151,0.1847,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,400,230kV_single,100000,0.062,30
,221,1,-1,0,0,0,SPPS_to_TRE,33840,711020,0.0832,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1500,345kV_double,100000,0.062,30
,222,1,0,-1,0,0,SPPS_to_TRE_WEST,36651,770085,0.1319,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1500,345kV_double,100000,0.062,30
,226,0,1,-1,0,0,TRE_to_TRE_WEST,44079,926162,0.1262,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1500,345kV_double,100000,0.062,30
,278,1,-1,0,0,0,SPPS_to_TRE,39854,837390,0.0832,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,750,345kV_single,100000,0.062,30
,279,1,0,-1,0,0,SPPS_to_TRE_WEST,46021,966966,0.1319,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,750,345kV_single,100000,0.062,30
,283,0,1,-1,0,0,TRE_to_TRE_WEST,52597,1105132,0.1262,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,750,345kV_single,100000,0.062,30
,335,1,-1,0,0,0,SPPS_to_TRE,34499,724870,0.0373,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,3000,500kV_HVDC,100000,0.062,30
,336,1,0,-1,0,0,SPPS_to_TRE_WEST,26534,557510,0.0339,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,3000,500kV_HVDC,100000,0.062,30
,340,0,1,-1,0,0,TRE_to_TRE_WEST,38140,801368,0.0484,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,3000,500kV_HVDC,100000,0.062,30
,392,1,-1,0,0,0,SPPS_to_TRE,29712,624286,0.0422,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,3000,500kV_double,100000,0.062,30
,393,1,0,-1,0,0,SPPS_to_TRE_WEST,29803,626200,0.0443,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,3000,500kV_double,100000,0.062,30
,397,0,1,-1,0,0,TRE_to_TRE_WEST,38042,799317,0.0566,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,3000,500kV_double,100000,0.062,30
,449,1,-1,0,0,0,SPPS_to_TRE,31972,671771,0.0422,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1500,500kV_single,100000,0.062,30
,450,1,0,-1,0,0,SPPS_to_TRE_WEST,33046,694343,0.0443,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1500,500kV_single,100000,0.062,30
,454,0,1,-1,0,0,TRE_to_TRE_WEST,41116,863895,0.0566,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1500,500kV_single,100000,0.062,30
