Iter,CPU_Time,LB,UB,Gap,Feasibility
1,492.22500014305115,114188.48958931927,1.6967913401213798e6,13.859565497572627,192.44885746683093
2,1077.8280000686646,124221.49293818692,1.6967913401213798e6,12.659402249864357,22.138974
3,1803.042000055313,302990.62824058044,1.408201973929485e6,3.647675019213285,2.0712267778370763
4,8054.40499997139,421091.85290839407,718146.668998958,0.7054394760641126,11.960721801320627
5,10555.868000030518,456120.6084227428,570692.579511722,0.25118788533841313,17.17867017641196
6,11846.167000055313,473616.72656115924,538337.3169784152,0.13665182580687102,6.131243477630671
7,13151.508000135422,479803.987117031,522026.52723217185,0.08799956075571787,18.933534051859844
8,15756.082999944687,487080.49302571244,511524.5460248817,0.05018483258757583,5.042833121677523
9,17464.65100002289,491401.1889850624,506154.79836989637,0.030023552477164296,4.420691641997893
10,18842.786999940872,492911.6236428097,503591.2021231878,0.0216663149500347,0.886121052939286
11,20082.101000070572,493494.16171026335,501085.1241634427,0.015382071445125023,0.6255844465164895
12,22047.549999952316,494256.5479775916,498719.0624615245,0.009028741252276236,0.7371424029605473
13,34754.515000104904,494747.0542673093,497530.7100706459,0.005626422187513606,1.0804743135624206
14,35433.80700016022,495069.3276911344,496566.91146398144,0.0030249980943706117,0.0
15,36095.06299996376,495226.3674594228,496174.87462160306,0.0019153002031096033,0.0
16,36743.18499994278,495297.41775747936,495892.4412727012,0.0012013458861059288,0.0
17,37438.21099996567,495352.27715751703,495730.32664121705,0.0007631931882283428,0.0
